Fecha,Estrategia,Rendimiento,Riesgo
1997-01-31,Convertible Arbitrage,1.19,Medio
1997-01-31,CTA Global,3.93,Alto
1997-01-31,Distressed Securities,1.78,Alto
1997-01-31,Emerging Markets,7.91,Alto
1997-01-31,Equity Market Neutral,1.89,Bajo
1997-01-31,Event Driven,2.13,Medio
1997-01-31,Fixed Income Arbitrage,1.91,Bajo
1997-01-31,Global Macro,5.73,Alto
1997-01-31,Long/Short Equity,2.81,Medio
1997-01-31,Merger Arbitrage,1.5,Medio
1997-01-31,Relative Value,1.8,Bajo
1997-01-31,Short Selling,-1.66,Alto
1997-01-31,Funds Of Funds,3.17,Medio
1997-02-28,Convertible Arbitrage,1.23,Medio
1997-02-28,CTA Global,2.98,Alto
1997-02-28,Distressed Securities,1.22,Alto
1997-02-28,Emerging Markets,5.25,Alto
1997-02-28,Equity Market Neutral,1.01,Bajo
1997-02-28,Event Driven,0.84,Medio
1997-02-28,Fixed Income Arbitrage,1.22,Bajo
1997-02-28,Global Macro,1.75,Alto
1997-02-28,Long/Short Equity,-0.06,Medio
1997-02-28,Merger Arbitrage,0.34,Medio
1997-02-28,Relative Value,1.18,Bajo
1997-02-28,Short Selling,4.26,Alto
1997-02-28,Funds Of Funds,1.06,Medio
1997-03-31,Convertible Arbitrage,0.78,Medio
1997-03-31,CTA Global,-0.21,Alto
1997-03-31,Distressed Securities,-0.12,Alto
1997-03-31,Emerging Markets,-1.2,Alto
1997-03-31,Equity Market Neutral,0.16,Bajo
1997-03-31,Event Driven,-0.23,Medio
1997-03-31,Fixed Income Arbitrage,1.09,Bajo
1997-03-31,Global Macro,-1.19,Alto
1997-03-31,Long/Short Equity,-0.84,Medio
1997-03-31,Merger Arbitrage,0.6,Medio
1997-03-31,Relative Value,0.1,Bajo
1997-03-31,Short Selling,7.78,Alto
1997-03-31,Funds Of Funds,-0.77,Medio
1997-04-30,Convertible Arbitrage,0.86,Medio
1997-04-30,CTA Global,-1.7,Alto
1997-04-30,Distressed Securities,0.3,Alto
1997-04-30,Emerging Markets,1.19,Alto
1997-04-30,Equity Market Neutral,1.19,Bajo
1997-04-30,Event Driven,-0.05,Medio
1997-04-30,Fixed Income Arbitrage,1.3,Bajo
1997-04-30,Global Macro,1.72,Alto
1997-04-30,Long/Short Equity,0.84,Medio
1997-04-30,Merger Arbitrage,-0.01,Medio
1997-04-30,Relative Value,1.22,Bajo
1997-04-30,Short Selling,-1.29,Alto
1997-04-30,Funds Of Funds,0.09,Medio
1997-05-31,Convertible Arbitrage,1.56,Medio
1997-05-31,CTA Global,-0.15,Alto
1997-05-31,Distressed Securities,2.33,Alto
1997-05-31,Emerging Markets,3.15,Alto
1997-05-31,Equity Market Neutral,1.89,Bajo
1997-05-31,Event Driven,3.46,Medio
1997-05-31,Fixed Income Arbitrage,1.18,Bajo
1997-05-31,Global Macro,1.08,Alto
1997-05-31,Long/Short Equity,3.94,Medio
1997-05-31,Merger Arbitrage,1.97,Medio
1997-05-31,Relative Value,1.73,Bajo
1997-05-31,Short Selling,-7.37,Alto
1997-05-31,Funds Of Funds,2.75,Medio
1997-06-30,Convertible Arbitrage,2.12,Medio
1997-06-30,CTA Global,0.85,Alto
1997-06-30,Distressed Securities,2.17,Alto
1997-06-30,Emerging Markets,5.81,Alto
1997-06-30,Equity Market Neutral,1.65,Bajo
1997-06-30,Event Driven,2.58,Medio
1997-06-30,Fixed Income Arbitrage,1.08,Bajo
1997-06-30,Global Macro,2.18,Alto
1997-06-30,Long/Short Equity,2.23,Medio
1997-06-30,Merger Arbitrage,2.31,Medio
1997-06-30,Relative Value,1.98,Bajo
1997-06-30,Short Selling,-0.65,Alto
1997-06-30,Funds Of Funds,2.25,Medio
1997-07-31,Convertible Arbitrage,1.93,Medio
1997-07-31,CTA Global,5.91,Alto
1997-07-31,Distressed Securities,2.34,Alto
1997-07-31,Emerging Markets,5.6,Alto
1997-07-31,Equity Market Neutral,2.47,Bajo
1997-07-31,Event Driven,3.07,Medio
1997-07-31,Fixed Income Arbitrage,0.95,Bajo
1997-07-31,Global Macro,7.38,Alto
1997-07-31,Long/Short Equity,4.54,Medio
1997-07-31,Merger Arbitrage,2,Medio
1997-07-31,Relative Value,1.81,Bajo
1997-07-31,Short Selling,-4.29,Alto
1997-07-31,Funds Of Funds,4.35,Medio
1997-08-31,Convertible Arbitrage,1.34,Medio
1997-08-31,CTA Global,-4.73,Alto
1997-08-31,Distressed Securities,1.47,Alto
1997-08-31,Emerging Markets,-0.66,Alto
1997-08-31,Equity Market Neutral,0.17,Bajo
1997-08-31,Event Driven,0.71,Medio
1997-08-31,Fixed Income Arbitrage,0.87,Bajo
1997-08-31,Global Macro,-1.8,Alto
1997-08-31,Long/Short Equity,1.07,Medio
1997-08-31,Merger Arbitrage,0.79,Medio
1997-08-31,Relative Value,1.03,Bajo
1997-08-31,Short Selling,-0.72,Alto
1997-08-31,Funds Of Funds,0.51,Medio
1997-09-30,Convertible Arbitrage,1.22,Medio
1997-09-30,CTA Global,1.98,Alto
1997-09-30,Distressed Securities,3.5,Alto
1997-09-30,Emerging Markets,2.29,Alto
1997-09-30,Equity Market Neutral,2.02,Bajo
1997-09-30,Event Driven,3.29,Medio
1997-09-30,Fixed Income Arbitrage,1.19,Bajo
1997-09-30,Global Macro,2.9,Alto
1997-09-30,Long/Short Equity,4.29,Medio
1997-09-30,Merger Arbitrage,1.97,Medio
1997-09-30,Relative Value,1.83,Bajo
1997-09-30,Short Selling,-1.55,Alto
1997-09-30,Funds Of Funds,3.34,Medio
1997-10-31,Convertible Arbitrage,1,Medio
1997-10-31,CTA Global,-0.98,Alto
1997-10-31,Distressed Securities,-0.64,Alto
1997-10-31,Emerging Markets,-5.72,Alto
1997-10-31,Equity Market Neutral,0.95,Bajo
1997-10-31,Event Driven,0.61,Medio
1997-10-31,Fixed Income Arbitrage,-0.32,Bajo
1997-10-31,Global Macro,-1.42,Alto
1997-10-31,Long/Short Equity,0.1,Medio
1997-10-31,Merger Arbitrage,0.94,Medio
1997-10-31,Relative Value,0.79,Bajo
1997-10-31,Short Selling,5.72,Alto
1997-10-31,Funds Of Funds,-0.99,Medio
1997-11-30,Convertible Arbitrage,0,Medio
1997-11-30,CTA Global,1.33,Alto
1997-11-30,Distressed Securities,0.54,Alto
1997-11-30,Emerging Markets,-3.78,Alto
1997-11-30,Equity Market Neutral,0.41,Bajo
1997-11-30,Event Driven,1.34,Medio
1997-11-30,Fixed Income Arbitrage,0.53,Bajo
1997-11-30,Global Macro,1.06,Alto
1997-11-30,Long/Short Equity,-0.26,Medio
1997-11-30,Merger Arbitrage,2.23,Medio
1997-11-30,Relative Value,1.11,Bajo
1997-11-30,Short Selling,2.17,Alto
1997-11-30,Funds Of Funds,-0.34,Medio
1997-12-31,Convertible Arbitrage,0.68,Medio
1997-12-31,CTA Global,2.86,Alto
1997-12-31,Distressed Securities,0.73,Alto
1997-12-31,Emerging Markets,1.6,Alto
1997-12-31,Equity Market Neutral,0.66,Bajo
1997-12-31,Event Driven,1.54,Medio
1997-12-31,Fixed Income Arbitrage,0.79,Bajo
1997-12-31,Global Macro,2.64,Alto
1997-12-31,Long/Short Equity,1.04,Medio
1997-12-31,Merger Arbitrage,1.58,Medio
1997-12-31,Relative Value,0.82,Bajo
1997-12-31,Short Selling,1.61,Alto
1997-12-31,Funds Of Funds,0.89,Medio
1998-01-31,Convertible Arbitrage,1.45,Medio
1998-01-31,CTA Global,1.04,Alto
1998-01-31,Distressed Securities,0.95,Alto
1998-01-31,Emerging Markets,-4.29,Alto
1998-01-31,Equity Market Neutral,0.6,Bajo
1998-01-31,Event Driven,0.55,Medio
1998-01-31,Fixed Income Arbitrage,-0.26,Bajo
1998-01-31,Global Macro,-0.5,Alto
1998-01-31,Long/Short Equity,0.13,Medio
1998-01-31,Merger Arbitrage,0.55,Medio
1998-01-31,Relative Value,1.32,Bajo
1998-01-31,Short Selling,0.14,Alto
1998-01-31,Funds Of Funds,-0.36,Medio
1998-02-28,Convertible Arbitrage,1.46,Medio
1998-02-28,CTA Global,-0.65,Alto
1998-02-28,Distressed Securities,2.27,Alto
1998-02-28,Emerging Markets,3.39,Alto
1998-02-28,Equity Market Neutral,1.35,Bajo
1998-02-28,Event Driven,2.94,Medio
1998-02-28,Fixed Income Arbitrage,0.98,Bajo
1998-02-28,Global Macro,1.28,Alto
1998-02-28,Long/Short Equity,3.42,Medio
1998-02-28,Merger Arbitrage,2.12,Medio
1998-02-28,Relative Value,1.3,Bajo
1998-02-28,Short Selling,1.55,Alto
1998-02-28,Funds Of Funds,2.56,Medio
1998-03-31,Convertible Arbitrage,1.44,Medio
1998-03-31,CTA Global,1.22,Alto
1998-03-31,Distressed Securities,2.52,Alto
1998-03-31,Emerging Markets,3.18,Alto
1998-03-31,Equity Market Neutral,1.79,Bajo
1998-03-31,Event Driven,2.63,Medio
1998-03-31,Fixed Income Arbitrage,1.28,Bajo
1998-03-31,Global Macro,5.7,Alto
1998-03-31,Long/Short Equity,3.36,Medio
1998-03-31,Merger Arbitrage,1.64,Medio
1998-03-31,Relative Value,1.45,Bajo
1998-03-31,Short Selling,6.37,Alto
1998-03-31,Funds Of Funds,3.73,Medio
1998-04-30,Convertible Arbitrage,1.26,Medio
1998-04-30,CTA Global,-2.96,Alto
1998-04-30,Distressed Securities,1.65,Alto
1998-04-30,Emerging Markets,0.41,Alto
1998-04-30,Equity Market Neutral,0.67,Bajo
1998-04-30,Event Driven,1.04,Medio
1998-04-30,Fixed Income Arbitrage,0.75,Bajo
1998-04-30,Global Macro,0.34,Alto
1998-04-30,Long/Short Equity,1.2,Medio
1998-04-30,Merger Arbitrage,1.39,Medio
1998-04-30,Relative Value,1.45,Bajo
1998-04-30,Short Selling,6.57,Alto
1998-04-30,Funds Of Funds,1.25,Medio
1998-05-31,Convertible Arbitrage,0.56,Medio
1998-05-31,CTA Global,1.93,Alto
1998-05-31,Distressed Securities,0.06,Alto
1998-05-31,Emerging Markets,-8.25,Alto
1998-05-31,Equity Market Neutral,0.8,Bajo
1998-05-31,Event Driven,-0.83,Medio
1998-05-31,Fixed Income Arbitrage,0.4,Bajo
1998-05-31,Global Macro,0.95,Alto
1998-05-31,Long/Short Equity,-0.87,Medio
1998-05-31,Merger Arbitrage,-0.09,Medio
1998-05-31,Relative Value,0.53,Bajo
1998-05-31,Short Selling,14.37,Alto
1998-05-31,Funds Of Funds,-0.72,Medio
1998-06-30,Convertible Arbitrage,-0.06,Medio
1998-06-30,CTA Global,0.51,Alto
1998-06-30,Distressed Securities,-0.47,Alto
1998-06-30,Emerging Markets,-4.22,Alto
1998-06-30,Equity Market Neutral,1.08,Bajo
1998-06-30,Event Driven,0.02,Medio
1998-06-30,Fixed Income Arbitrage,-0.8,Bajo
1998-06-30,Global Macro,1.2,Alto
1998-06-30,Long/Short Equity,1.67,Medio
1998-06-30,Merger Arbitrage,0.72,Medio
1998-06-30,Relative Value,0.26,Bajo
1998-06-30,Short Selling,-0.53,Alto
1998-06-30,Funds Of Funds,0.21,Medio
1998-07-31,Convertible Arbitrage,0.6,Medio
1998-07-31,CTA Global,-0.1,Alto
1998-07-31,Distressed Securities,-0.69,Alto
1998-07-31,Emerging Markets,0.19,Alto
1998-07-31,Equity Market Neutral,0.12,Bajo
1998-07-31,Event Driven,-0.37,Medio
1998-07-31,Fixed Income Arbitrage,1.06,Bajo
1998-07-31,Global Macro,0.58,Alto
1998-07-31,Long/Short Equity,-0.06,Medio
1998-07-31,Merger Arbitrage,0.07,Medio
1998-07-31,Relative Value,0.11,Bajo
1998-07-31,Short Selling,3.43,Alto
1998-07-31,Funds Of Funds,-0.07,Medio
1998-08-31,Convertible Arbitrage,-3.19,Medio
1998-08-31,CTA Global,6.91,Alto
1998-08-31,Distressed Securities,-8.36,Alto
1998-08-31,Emerging Markets,-19.22,Alto
1998-08-31,Equity Market Neutral,-1.07,Bajo
1998-08-31,Event Driven,-8.86,Medio
1998-08-31,Fixed Income Arbitrage,-1.43,Bajo
1998-08-31,Global Macro,-2.63,Alto
1998-08-31,Long/Short Equity,-5.52,Medio
1998-08-31,Merger Arbitrage,-5.44,Medio
1998-08-31,Relative Value,-3.41,Bajo
1998-08-31,Short Selling,24.63,Alto
1998-08-31,Funds Of Funds,-6.16,Medio
1998-09-30,Convertible Arbitrage,-1.96,Medio
1998-09-30,CTA Global,4.54,Alto
1998-09-30,Distressed Securities,-2.15,Alto
1998-09-30,Emerging Markets,-3.95,Alto
1998-09-30,Equity Market Neutral,0.61,Bajo
1998-09-30,Event Driven,-1.1,Medio
1998-09-30,Fixed Income Arbitrage,-3.62,Bajo
1998-09-30,Global Macro,-0.59,Alto
1998-09-30,Long/Short Equity,2.06,Medio
1998-09-30,Merger Arbitrage,0.76,Medio
1998-09-30,Relative Value,0.05,Bajo
1998-09-30,Short Selling,-3.76,Alto
1998-09-30,Funds Of Funds,-0.37,Medio
1998-10-31,Convertible Arbitrage,-2.14,Medio
1998-10-31,CTA Global,0.04,Alto
1998-10-31,Distressed Securities,-0.29,Alto
1998-10-31,Emerging Markets,1.4,Alto
1998-10-31,Equity Market Neutral,0.52,Bajo
1998-10-31,Event Driven,0.91,Medio
1998-10-31,Fixed Income Arbitrage,-8.01,Bajo
1998-10-31,Global Macro,-2.23,Alto
1998-10-31,Long/Short Equity,1.69,Medio
1998-10-31,Merger Arbitrage,1.59,Medio
1998-10-31,Relative Value,-1.4,Bajo
1998-10-31,Short Selling,-10.77,Alto
1998-10-31,Funds Of Funds,-0.02,Medio
1998-11-30,Convertible Arbitrage,2.69,Medio
1998-11-30,CTA Global,-0.89,Alto
1998-11-30,Distressed Securities,1.64,Alto
1998-11-30,Emerging Markets,4.3,Alto
1998-11-30,Equity Market Neutral,1.58,Bajo
1998-11-30,Event Driven,2.44,Medio
1998-11-30,Fixed Income Arbitrage,0.52,Bajo
1998-11-30,Global Macro,1.94,Alto
1998-11-30,Long/Short Equity,2.91,Medio
1998-11-30,Merger Arbitrage,2.2,Medio
1998-11-30,Relative Value,1.98,Bajo
1998-11-30,Short Selling,-7.56,Alto
1998-11-30,Funds Of Funds,2.2,Medio
1998-12-31,Convertible Arbitrage,1.13,Medio
1998-12-31,CTA Global,2.21,Alto
1998-12-31,Distressed Securities,1.08,Alto
1998-12-31,Emerging Markets,-0.98,Alto
1998-12-31,Equity Market Neutral,2.09,Bajo
1998-12-31,Event Driven,2.19,Medio
1998-12-31,Fixed Income Arbitrage,1.2,Bajo
1998-12-31,Global Macro,2.33,Alto
1998-12-31,Long/Short Equity,4.08,Medio
1998-12-31,Merger Arbitrage,2.24,Medio
1998-12-31,Relative Value,1.64,Bajo
1998-12-31,Short Selling,-5.31,Alto
1998-12-31,Funds Of Funds,2.22,Medio
1999-01-31,Convertible Arbitrage,2.19,Medio
1999-01-31,CTA Global,-1.67,Alto
1999-01-31,Distressed Securities,1.81,Alto
1999-01-31,Emerging Markets,-1.2,Alto
1999-01-31,Equity Market Neutral,1.01,Bajo
1999-01-31,Event Driven,2.01,Medio
1999-01-31,Fixed Income Arbitrage,1.58,Bajo
1999-01-31,Global Macro,0.86,Alto
1999-01-31,Long/Short Equity,2.58,Medio
1999-01-31,Merger Arbitrage,1.12,Medio
1999-01-31,Relative Value,1.95,Bajo
1999-01-31,Short Selling,-6.65,Alto
1999-01-31,Funds Of Funds,2.02,Medio
1999-02-28,Convertible Arbitrage,0.82,Medio
1999-02-28,CTA Global,1.97,Alto
1999-02-28,Distressed Securities,-0.21,Alto
1999-02-28,Emerging Markets,1.02,Alto
1999-02-28,Equity Market Neutral,0.23,Bajo
1999-02-28,Event Driven,-0.42,Medio
1999-02-28,Fixed Income Arbitrage,2.08,Bajo
1999-02-28,Global Macro,-1.11,Alto
1999-02-28,Long/Short Equity,-1.69,Medio
1999-02-28,Merger Arbitrage,0.36,Medio
1999-02-28,Relative Value,0.85,Bajo
1999-02-28,Short Selling,8.33,Alto
1999-02-28,Funds Of Funds,-0.63,Medio
1999-03-31,Convertible Arbitrage,1.36,Medio
1999-03-31,CTA Global,-0.65,Alto
1999-03-31,Distressed Securities,1.59,Alto
1999-03-31,Emerging Markets,5.85,Alto
1999-03-31,Equity Market Neutral,0.33,Bajo
1999-03-31,Event Driven,1.93,Medio
1999-03-31,Fixed Income Arbitrage,1.6,Bajo
1999-03-31,Global Macro,0.24,Alto
1999-03-31,Long/Short Equity,2.29,Medio
1999-03-31,Merger Arbitrage,1.33,Medio
1999-03-31,Relative Value,1.16,Bajo
1999-03-31,Short Selling,-1.54,Alto
1999-03-31,Funds Of Funds,2.13,Medio
1999-04-30,Convertible Arbitrage,2.43,Medio
1999-04-30,CTA Global,2.1,Alto
1999-04-30,Distressed Securities,4.18,Alto
1999-04-30,Emerging Markets,6.3,Alto
1999-04-30,Equity Market Neutral,1.07,Bajo
1999-04-30,Event Driven,4.29,Medio
1999-04-30,Fixed Income Arbitrage,1.06,Bajo
1999-04-30,Global Macro,3.29,Alto
1999-04-30,Long/Short Equity,3.12,Medio
1999-04-30,Merger Arbitrage,2.18,Medio
1999-04-30,Relative Value,2.38,Bajo
1999-04-30,Short Selling,-3.75,Alto
1999-04-30,Funds Of Funds,4,Medio
1999-05-31,Convertible Arbitrage,1.66,Medio
1999-05-31,CTA Global,-1.5,Alto
1999-05-31,Distressed Securities,2.07,Alto
1999-05-31,Emerging Markets,0.61,Alto
1999-05-31,Equity Market Neutral,0.89,Bajo
1999-05-31,Event Driven,2.15,Medio
1999-05-31,Fixed Income Arbitrage,0.72,Bajo
1999-05-31,Global Macro,-0.55,Alto
1999-05-31,Long/Short Equity,0.95,Medio
1999-05-31,Merger Arbitrage,2.1,Medio
1999-05-31,Relative Value,1.46,Bajo
1999-05-31,Short Selling,0.09,Alto
1999-05-31,Funds Of Funds,1.19,Medio
1999-06-30,Convertible Arbitrage,1.02,Medio
1999-06-30,CTA Global,2.34,Alto
1999-06-30,Distressed Securities,2.73,Alto
1999-06-30,Emerging Markets,6.54,Alto
1999-06-30,Equity Market Neutral,1.68,Bajo
1999-06-30,Event Driven,2.97,Medio
1999-06-30,Fixed Income Arbitrage,0.88,Bajo
1999-06-30,Global Macro,2.14,Alto
1999-06-30,Long/Short Equity,3.15,Medio
1999-06-30,Merger Arbitrage,2.22,Medio
1999-06-30,Relative Value,1.48,Bajo
1999-06-30,Short Selling,-4.12,Alto
1999-06-30,Funds Of Funds,2.82,Medio
1999-07-31,Convertible Arbitrage,1.01,Medio
1999-07-31,CTA Global,-0.51,Alto
1999-07-31,Distressed Securities,0.84,Alto
1999-07-31,Emerging Markets,-0.61,Alto
1999-07-31,Equity Market Neutral,1.35,Bajo
1999-07-31,Event Driven,0.96,Medio
1999-07-31,Fixed Income Arbitrage,0.51,Bajo
1999-07-31,Global Macro,-0.18,Alto
1999-07-31,Long/Short Equity,1.77,Medio
1999-07-31,Merger Arbitrage,1.47,Medio
1999-07-31,Relative Value,1.1,Bajo
1999-07-31,Short Selling,0.92,Alto
1999-07-31,Funds Of Funds,0.88,Medio
1999-08-31,Convertible Arbitrage,0.48,Medio
1999-08-31,CTA Global,-0.27,Alto
1999-08-31,Distressed Securities,0.2,Alto
1999-08-31,Emerging Markets,-1.47,Alto
1999-08-31,Equity Market Neutral,0.95,Bajo
1999-08-31,Event Driven,-0.27,Medio
1999-08-31,Fixed Income Arbitrage,-0.28,Bajo
1999-08-31,Global Macro,-0.61,Alto
1999-08-31,Long/Short Equity,0.22,Medio
1999-08-31,Merger Arbitrage,0.5,Medio
1999-08-31,Relative Value,0.62,Bajo
1999-08-31,Short Selling,4.68,Alto
1999-08-31,Funds Of Funds,0.28,Medio
1999-09-30,Convertible Arbitrage,0.96,Medio
1999-09-30,CTA Global,0.64,Alto
1999-09-30,Distressed Securities,-0.41,Alto
1999-09-30,Emerging Markets,-0.69,Alto
1999-09-30,Equity Market Neutral,0.95,Bajo
1999-09-30,Event Driven,0.9,Medio
1999-09-30,Fixed Income Arbitrage,0.92,Bajo
1999-09-30,Global Macro,-0.02,Alto
1999-09-30,Long/Short Equity,1.13,Medio
1999-09-30,Merger Arbitrage,1.16,Medio
1999-09-30,Relative Value,1.05,Bajo
1999-09-30,Short Selling,4.01,Alto
1999-09-30,Funds Of Funds,0.52,Medio
1999-10-31,Convertible Arbitrage,0.45,Medio
1999-10-31,CTA Global,-3.54,Alto
1999-10-31,Distressed Securities,0.27,Alto
1999-10-31,Emerging Markets,2.88,Alto
1999-10-31,Equity Market Neutral,0.66,Bajo
1999-10-31,Event Driven,0.54,Medio
1999-10-31,Fixed Income Arbitrage,0.87,Bajo
1999-10-31,Global Macro,0.73,Alto
1999-10-31,Long/Short Equity,2.12,Medio
1999-10-31,Merger Arbitrage,0.96,Medio
1999-10-31,Relative Value,0.7,Bajo
1999-10-31,Short Selling,-1.3,Alto
1999-10-31,Funds Of Funds,1.3,Medio
1999-11-30,Convertible Arbitrage,1.24,Medio
1999-11-30,CTA Global,1.66,Alto
1999-11-30,Distressed Securities,2.2,Alto
1999-11-30,Emerging Markets,6.92,Alto
1999-11-30,Equity Market Neutral,1.33,Bajo
1999-11-30,Event Driven,2.84,Medio
1999-11-30,Fixed Income Arbitrage,1.06,Bajo
1999-11-30,Global Macro,4.05,Alto
1999-11-30,Long/Short Equity,4.81,Medio
1999-11-30,Merger Arbitrage,2.37,Medio
1999-11-30,Relative Value,1.37,Bajo
1999-11-30,Short Selling,-12.39,Alto
1999-11-30,Funds Of Funds,4.83,Medio
1999-12-31,Convertible Arbitrage,1.4,Medio
1999-12-31,CTA Global,1.42,Alto
1999-12-31,Distressed Securities,3,Alto
1999-12-31,Emerging Markets,12.3,Alto
1999-12-31,Equity Market Neutral,1.98,Bajo
1999-12-31,Event Driven,2.86,Medio
1999-12-31,Fixed Income Arbitrage,0.97,Bajo
1999-12-31,Global Macro,6.12,Alto
1999-12-31,Long/Short Equity,7.45,Medio
1999-12-31,Merger Arbitrage,0.9,Medio
1999-12-31,Relative Value,1.83,Bajo
1999-12-31,Short Selling,-11.37,Alto
1999-12-31,Funds Of Funds,6.22,Medio
2000-01-31,Convertible Arbitrage,2.27,Medio
2000-01-31,CTA Global,1.28,Alto
2000-01-31,Distressed Securities,0.88,Alto
2000-01-31,Emerging Markets,0.77,Alto
2000-01-31,Equity Market Neutral,0.75,Bajo
2000-01-31,Event Driven,0.88,Medio
2000-01-31,Fixed Income Arbitrage,0.41,Bajo
2000-01-31,Global Macro,0.21,Alto
2000-01-31,Long/Short Equity,0.75,Medio
2000-01-31,Merger Arbitrage,1.43,Medio
2000-01-31,Relative Value,1.73,Bajo
2000-01-31,Short Selling,4.27,Alto
2000-01-31,Funds Of Funds,1.69,Medio
2000-02-29,Convertible Arbitrage,2.67,Medio
2000-02-29,CTA Global,-0.22,Alto
2000-02-29,Distressed Securities,4.21,Alto
2000-02-29,Emerging Markets,5.28,Alto
2000-02-29,Equity Market Neutral,2.53,Bajo
2000-02-29,Event Driven,3.46,Medio
2000-02-29,Fixed Income Arbitrage,0.97,Bajo
2000-02-29,Global Macro,4.08,Alto
2000-02-29,Long/Short Equity,6.99,Medio
2000-02-29,Merger Arbitrage,2.39,Medio
2000-02-29,Relative Value,1.85,Bajo
2000-02-29,Short Selling,-13.4,Alto
2000-02-29,Funds Of Funds,6.66,Medio
2000-03-31,Convertible Arbitrage,2.43,Medio
2000-03-31,CTA Global,-1.38,Alto
2000-03-31,Distressed Securities,1.03,Alto
2000-03-31,Emerging Markets,3.18,Alto
2000-03-31,Equity Market Neutral,1.34,Bajo
2000-03-31,Event Driven,0.69,Medio
2000-03-31,Fixed Income Arbitrage,-0.61,Bajo
2000-03-31,Global Macro,-1.04,Alto
2000-03-31,Long/Short Equity,0.06,Medio
2000-03-31,Merger Arbitrage,1.31,Medio
2000-03-31,Relative Value,1.63,Bajo
2000-03-31,Short Selling,-2.3,Alto
2000-03-31,Funds Of Funds,0.39,Medio
2000-04-30,Convertible Arbitrage,2.23,Medio
2000-04-30,CTA Global,-2.41,Alto
2000-04-30,Distressed Securities,-1.01,Alto
2000-04-30,Emerging Markets,-5.41,Alto
2000-04-30,Equity Market Neutral,1.68,Bajo
2000-04-30,Event Driven,-0.59,Medio
2000-04-30,Fixed Income Arbitrage,-0.06,Bajo
2000-04-30,Global Macro,-3.04,Alto
2000-04-30,Long/Short Equity,-2.01,Medio
2000-04-30,Merger Arbitrage,1.88,Medio
2000-04-30,Relative Value,0.92,Bajo
2000-04-30,Short Selling,10.28,Alto
2000-04-30,Funds Of Funds,-2.69,Medio
2000-05-31,Convertible Arbitrage,1.49,Medio
